full_name,conference,division,team,position,age,birthday,Team,Division,Conferece,AFC EAST,AFC NORTH,AFC WEST,AFC SOUTH,NFC EAST,NFC NORTH,NFC WEST,NFC SOUTH
DeAndre Hopkins,NFC,NFC WEST,ARI,WR,29,1992-06-06,,,,,,,,,,,
Chris Godwin,NFC,NFC SOUTH,TB,WR,26,1996-02-27,,,,,,,,,,,
Patrick Mahomes II,AFC,AFC WEST,KC,QB,26,1995-09-17,,,,,,,,,,,
George Kittle,NFC,NFC WEST,SF,TE,28,1993-10-09,,,,,,,,,,,
DJ Moore,NFC,NFC SOUTH,CAR,WR,24,1997-04-14,,,,,,,,,,,
Ezekiel Elliott,NFC,NFC EAST,DAL,RB,26,1995-07-22,,,,,,,,,,,
Elijah Mitchell,NFC,NFC WEST,SF,RB,23,1998-05-02,,,,,,,,,,,
Josh Jacobs,AFC,AFC WEST,LV,RB,24,1998-02-11,,,,,,,,,,,
Terry McLaurin,NFC,NFC EAST,WAS,WR,26,1995-09-15,,,,,,,,,,,
Leonard Fournette,NFC,NFC SOUTH,TB,RB,27,1995-01-18,,,,,,,,,,,
Michael Pittman Jr.,AFC,AFC SOUTH,IND,WR,24,1997-10-05,,,,,,,,,,,
Brandin Cooks,AFC,AFC SOUTH,HOU,WR,28,1993-09-25,,,,,,,,,,,
Darren Waller,AFC,AFC WEST,LV,TE,29,1992-09-13,,,,,,,,,,,
Hunter Renfrow,AFC,AFC WEST,LV,WR,26,1995-12-21,,,,,,,,,,,
Elijah Moore,AFC,AFC EAST,NYJ,WR,22,2000-03-27,,,,,,,,,,,
Tyler Lockett,NFC,NFC WEST,SEA,WR,29,1992-09-28,,,,,,,,,,,
J.K. Dobbins,AFC,AFC NORTH,BAL,RB,23,1998-12-17,,,,,,,,,,,
Justin Herbert,AFC,AFC WEST,LAC,QB,24,1998-03-10,,,,,,,,,,,
Jerry Jeudy,AFC,AFC WEST,DEN,WR,22,1999-04-24,,,,,,,,,,,
Michael Carter,AFC,AFC EAST,NYJ,RB,22,1999-05-07,,,,,,,,,,,
AJ Dillon,NFC,NFC NORTH,GB,RB,23,1998-05-02,,,,,,,,,,,
Amari Cooper,AFC,AFC NORTH,CLE,WR,27,1994-06-17,,,,,,,,,,,
Kyler Murray,NFC,NFC WEST,ARI,QB,24,1997-08-07,,,,,,,,,,,
Amon-Ra St. Brown,NFC,NFC NORTH,DET,WR,22,1999-10-24,,,,,,,,,,,
Lamar Jackson,AFC,AFC NORTH,BAL,QB,25,1997-01-07,,,,,,,,,,,
DeVonta Smith,NFC,NFC EAST,PHI,WR,23,1998-11-14,,,,,,,,,,,
Clyde Edwards-Helaire,AFC,AFC WEST,KC,RB,22,1999-04-11,,,,,,,,,,,
T.J. Hockenson,NFC,NFC NORTH,DET,TE,24,1997-07-03,,,,,,,,,,,
Joe Burrow,AFC,AFC NORTH,CIN,QB,25,1996-12-10,,,,,,,,,,,
Miles Sanders,NFC,NFC EAST,PHI,RB,24,1997-05-01,,,,,,,,,,,
Damien Harris,AFC,AFC EAST,NE,RB,25,1997-02-11,,,,,,,,,,,
James Conner,NFC,NFC WEST,ARI,RB,26,1995-05-05,,,,,,,,,,,
Darnell Mooney,NFC,NFC NORTH,CHI,WR,24,1997-10-29,,,,,,,,,,,
Dallas Goedert,NFC,NFC EAST,PHI,TE,27,1995-01-03,,,,,,,,,,,
Adam Thielen,NFC,NFC NORTH,MIN,WR,31,1990-08-22,,,,,,,,,,,
Marquise Brown,AFC,AFC NORTH,BAL,WR,24,1997-06-04,,,,,,,,,,,
Devin Singletary,AFC,AFC EAST,BUF,RB,24,1997-09-03,,,,,,,,,,,
Allen Robinson II,NFC,NFC NORTH,CHI,WR,28,1993-08-24,,,,,,,,,,,
Courtland Sutton,AFC,AFC WEST,DEN,WR,26,1995-10-10,,,,,,,,,,,
Aaron Rodgers,NFC,NFC NORTH,GB,QB,38,1983-12-02,,,,,,,,,,,
Robert Woods,AFC,AFC SOUTH,TEN,WR,29,1992-04-10,,,,,,,,,,,
Brandon Aiyuk,NFC,NFC WEST,SF,WR,24,1998-03-17,,,,,,,,,,,
Dak Prescott,NFC,NFC EAST,DAL,QB,28,1993-07-29,,,,,,,,,,,
Kareem Hunt,AFC,AFC NORTH,CLE,RB,26,1995-08-06,,,,,,,,,,,
Mike Williams,AFC,AFC WEST,LAC,WR,27,1994-10-04,,,,,,,,,,,
Tony Pollard,NFC,NFC EAST,DAL,RB,24,1997-04-30,,,,,,,,,,,
Chase Claypool,AFC,AFC NORTH,PIT,WR,23,1998-07-07,,,,,,,,,,,
Rashod Bateman,AFC,AFC NORTH,BAL,WR,22,1999-11-29,,,,,,,,,,,
Chase Edmonds,AFC,AFC EAST,MIA,RB,25,1996-04-13,,,,,,,,,,,
Matthew Stafford,NFC,NFC WEST,LAR,QB,34,1988-02-07,,,,,,,,,,,
Travis Etienne Jr.,#N/A,#N/A,JAC,RB,23,1999-01-26,,,,,,,,,,,
Jalen Hurts,NFC,NFC EAST,PHI,QB,23,1998-08-07,,,,,,,,,,,
Kadarius Toney,NFC,NFC EAST,NYG,WR,23,1999-01-27,,,,,,,,,,,
Mike Gesicki,AFC,AFC EAST,MIA,TE,26,1995-10-03,,,,,,,,,,,
Rashaad Penny,NFC,NFC WEST,SEA,RB,26,1996-02-02,,,,,,,,,,,
Dawson Knox,AFC,AFC EAST,BUF,TE,25,1996-11-14,,,,,,,,,,,
Michael Thomas,NFC,NFC SOUTH,NO,WR,29,1993-03-03,,,,,,,,,,,
Russell Wilson,AFC,AFC WEST,DEN,QB,33,1988-11-29,,,,,,,,,,,
Pat Freiermuth,AFC,AFC NORTH,PIT,TE,23,1998-10-25,,,,,,,,,,,
Gabriel Davis,AFC,AFC EAST,BUF,WR,23,1999-04-01,,,,,,,,,,,
Melvin Gordon III,AFC,AFC WEST,DEN,RB,28,1993-04-13,,,,,,,,,,,
Deshaun Watson,AFC,AFC NORTH,CLE,QB,26,1995-09-14,,,,,,,,,,,
Trey Lance,NFC,NFC WEST,SF,QB,21,2000-05-09,,,,,,,,,,,
